medicago;soybean_id;soybean;lotus;faba;arabidopsis;maize
MtrunA17_Chr0c02g0489661;KRH43726;Glyma.08G167600;LotjaGi1g1v0767900;Vfaba.Hedin2.R2.1g004149;AT1G16470.1;Zm00001eb248210_P001
MtrunA17_Chr0c02g0489661;KRH43727;Glyma.08G167600;LotjaGi1g1v0767900;Vfaba.Hedin2.R2.1g004149;AT1G16470.1;Zm00001eb248210_P001
MtrunA17_Chr0c02g0489661;KRH43728;Glyma.08G167600;LotjaGi1g1v0767900;Vfaba.Hedin2.R2.1g004149;AT1G16470.1;Zm00001eb248210_P001
MtrunA17_Chr0c02g0489751;KRG89693;Glyma.20G041200;LotjaGi6g1v0178600;Vfaba.Hedin2.R2.2g011835;AT5G19380.1;Zm00001eb140590_P001
MtrunA17_Chr0c02g0489761;KRG89696;Glyma.20G041500;LotjaGi6g1v0178500;Vfaba.Hedin2.R2.2g011833;NA;NA
MtrunA17_Chr0c02g0489781;KRG92958;Glyma.20G239900;NA;Vfaba.Hedin2.R2.2g017005;NA;Zm00001eb123930_P001
MtrunA17_Chr0c03g0489861;KRH76173;Glyma.01G136800;NA;Vfaba.Hedin2.R2.contig_corrected_v1_2588g037362;ATMG00285.1;NA
MtrunA17_Chr0c03g0489941;KRH71774;Glyma.02G168200;NA;NA;NA;NA
MtrunA17_Chr0c03g0490011;KRH71072;Glyma.02G127700;LotjaGi2g1v0286500;Vfaba.Hedin2.R2.1g004323;AT1G13570.1;NA
MtrunA17_Chr0c03g0490031;KRH71073;Glyma.02G127800;LotjaGi2g1v0286400;NA;NA;NA
MtrunA17_Chr0c03g0490031;KRH71074;Glyma.02G127800;LotjaGi2g1v0286400;NA;NA;NA
MtrunA17_Chr0c03g0490031;KRH71075;Glyma.02G127800;LotjaGi2g1v0286400;NA;NA;NA
MtrunA17_Chr0c03g0490031;KRH71076;Glyma.02G127800;LotjaGi2g1v0286400;NA;NA;NA
MtrunA17_Chr0c04g0492011;KRH67661;Glyma.03G178900;NA;NA;NA;NA
MtrunA17_Chr0c04g0492021;KRH67661;Glyma.03G178900;NA;NA;NA;NA
MtrunA17_Chr0c04g0492031;KRH61352;Glyma.04G042400;NA;Vfaba.Hedin2.R2.2g014884;NA;NA
MtrunA17_Chr0c04g0492081;KRH75043;Glyma.01G058600;NA;NA;NA;NA
MtrunA17_Chr0c05g0492121;KRH70629;Glyma.02G101400;LotjaGi2g1v0282600;Vfaba.Hedin2.R2.1g005441;NA;Zm00001eb178510_P001
MtrunA17_Chr0c05g0492131;KRH75561;Glyma.01G092900;LotjaGi2g1v0284300;Vfaba.Hedin2.R2.1g004371;NA;Zm00001eb281600_P001
MtrunA17_Chr0c06g0493481;KRH54906;Glyma.06G218100;LotjaGi6g1v0021300;Vfaba.Hedin2.R2.1g006360;AT4G25770.1;Zm00001eb040870_P001
MtrunA17_Chr0c09g0493501;KRH70235;Glyma.02G077500;LotjaGi2g1v0117400;Vfaba.Hedin2.R2.1g002348;AT1G71760.1;Zm00001eb361480_P001
MtrunA17_Chr0c09g0493501;KRH70236;Glyma.02G077500;LotjaGi2g1v0117400;Vfaba.Hedin2.R2.1g002348;AT1G71760.1;Zm00001eb361480_P001
MtrunA17_Chr0c12g0493641;KRH51300;Glyma.07G273600;LotjaGi4g1v0210000;Vfaba.Hedin2.R2.6g032588;AT1G57770.1;Zm00001eb210950_P001
MtrunA17_Chr0c12g0493651;KRH01866;Glyma.17G001400;NA;Vfaba.Hedin2.R2.6g032589;AT1G57720.1;Zm00001eb385150_P001
MtrunA17_Chr0c12g0493651;KRH01867;Glyma.17G001400;NA;Vfaba.Hedin2.R2.6g032589;AT1G57720.1;Zm00001eb385150_P001
MtrunA17_Chr0c12g0493661;KRH51297;Glyma.07G273300;LotjaGi4g1v0001000;Vfaba.Hedin2.R2.6g032590;AT5G49900.1;Zm00001eb168000_P001
MtrunA17_Chr0c19g0493771;KRH00883;Glyma.18G239900;LotjaGi1g1v0482900;Vfaba.Hedin2.R2.5g029817;AT1G31800.1;Zm00001eb258960_P001
MtrunA17_Chr0c20g0493831;KRH02451;Glyma.17G039500;LotjaGi6g1v0216400;Vfaba.Hedin2.R2.4g027206;AT3G06430.1;Zm00001eb298940_P001
MtrunA17_Chr0c20g0493841;KRH50641;Glyma.07G233900;LotjaGi4g1v0313000;Vfaba.Hedin2.R2.4g027205;AT3G53480.1;Zm00001eb406530_P001
MtrunA17_Chr0c22g0493861;KRH74940;Glyma.01G053000;NA;NA;NA;NA
MtrunA17_Chr0c27g0493921;KRH02604;Glyma.17G049000;LotjaGi4g1v0324600;Vfaba.Hedin2.R2.4g027355;AT5G60360.1;Zm00001eb314220_P001
MtrunA17_Chr0c28g0493951;KRH03598;Glyma.17G107700;NA;Vfaba.Hedin2.R2.4g026758;AT2G11890.1;Zm00001eb225080_P001
MtrunA17_Chr0c29g0494001;KRH01028;Glyma.18G249400;NA;Vfaba.Hedin2.R2.5g029938;AT3G18870.1;NA
MtrunA17_Chr0c32g0494171;KRH65514;Glyma.03G041800;NA;NA;NA;NA
MtrunA17_Chr0c32g0494171;KRH65515;Glyma.03G041800;NA;NA;NA;NA
MtrunA17_Chr0c32g0494171;KRH65516;Glyma.03G041800;NA;NA;NA;NA
MtrunA17_Chr0c32g0494171;KRH65517;Glyma.03G041800;NA;NA;NA;NA
MtrunA17_Chr1g0146151;KRH04915;Glyma.17G195900;LotjaGi1g1v0175900;Vfaba.Hedin2.R2.3g021726;NA;NA
MtrunA17_Chr1g0146151;KRH04916;Glyma.17G195900;LotjaGi1g1v0175900;Vfaba.Hedin2.R2.3g021726;NA;NA
MtrunA17_Chr1g0146161;KRH52727;Glyma.06G084600;NA;Vfaba.Hedin2.R2.3g021725;AT2G25810.1;Zm00001eb119200_P001
MtrunA17_Chr1g0146161;KRH52728;Glyma.06G084600;NA;Vfaba.Hedin2.R2.3g021725;AT2G25810.1;Zm00001eb119200_P001
MtrunA17_Chr1g0146181;KRH04890;Glyma.17G194300;LotjaGi1g1v0175500;Vfaba.Hedin2.R2.3g021724;AT5G25820.1;NA
MtrunA17_Chr1g0146181;KRH04891;Glyma.17G194300;LotjaGi1g1v0175500;Vfaba.Hedin2.R2.3g021724;AT5G25820.1;NA
MtrunA17_Chr1g0146181;KRH04892;Glyma.17G194300;LotjaGi1g1v0175500;Vfaba.Hedin2.R2.3g021724;AT5G25820.1;NA
MtrunA17_Chr1g0146181;KRH04893;Glyma.17G194300;LotjaGi1g1v0175500;Vfaba.Hedin2.R2.3g021724;AT5G25820.1;NA
MtrunA17_Chr1g0146181;KRH04894;Glyma.17G194300;LotjaGi1g1v0175500;Vfaba.Hedin2.R2.3g021724;AT5G25820.1;NA
MtrunA17_Chr1g0146181;KRH04895;Glyma.17G194300;LotjaGi1g1v0175500;Vfaba.Hedin2.R2.3g021724;AT5G25820.1;NA
MtrunA17_Chr1g0146181;KRH04896;Glyma.17G194300;LotjaGi1g1v0175500;Vfaba.Hedin2.R2.3g021724;AT5G25820.1;NA
MtrunA17_Chr1g0146191;KRH16287;Glyma.14G146100;NA;Vfaba.Hedin2.R2.3g021722;AT5G11590.1;NA
MtrunA17_Chr1g0146201;KRH04885;Glyma.17G193800;LotjaGi1g1v0175100;Vfaba.Hedin2.R2.3g021719;AT4G32910.1;Zm00001eb152980_P003
MtrunA17_Chr1g0146221;KRH16284;Glyma.14G145800;NA;NA;NA;NA
MtrunA17_Chr1g0146231;KRH16283;Glyma.14G145700;NA;NA;NA;NA
MtrunA17_Chr1g0146281;KRH45053;Glyma.08G246800;LotjaGi4g1v0121200;Vfaba.Hedin2.R2.3g021752;AT1G60080.1;Zm00001eb036840_P003
MtrunA17_Chr1g0146291;KRH04873;Glyma.17G192700;LotjaGi1g1v0222500;Vfaba.Hedin2.R2.3g021753;AT5G11640.1;Zm00001eb337980_P002
MtrunA17_Chr1g0146291;KRH04874;Glyma.17G192700;LotjaGi1g1v0222500;Vfaba.Hedin2.R2.3g021753;AT5G11640.1;Zm00001eb337980_P002
MtrunA17_Chr1g0146321;KRG94890;Glyma.19G115900;LotjaGi1g1v0649600;Vfaba.Hedin2.R2.3g021756;AT1G31220.1;Zm00001eb082710_P001
MtrunA17_Chr1g0146331;KRH16269;Glyma.14G144700;NA;NA;NA;NA
MtrunA17_Chr1g0146411;KRH04869;Glyma.17G192500;LotjaGi1g1v0223200;Vfaba.Hedin2.R2.3g021765;NA;NA
MtrunA17_Chr1g0146431;KRH16261;Glyma.14G144100;LotjaGi1g1v0222600;Vfaba.Hedin2.R2.3g021766;AT2G25870.1;Zm00001eb153790_P001
MtrunA17_Chr1g0146471;KRH04860;Glyma.17G192100;LotjaGi4g1v0310400_LC;Vfaba.Hedin2.R2.3g021768;AT5G25940.1;NA
MtrunA17_Chr1g0146471;KRH04861;Glyma.17G192100;LotjaGi4g1v0310400_LC;Vfaba.Hedin2.R2.3g021768;AT5G25940.1;NA
MtrunA17_Chr1g0146481;KRH04862;Glyma.17G192200;NA;Vfaba.Hedin2.R2.3g021769;AT3G53920.1;Zm00001eb297490_P001
MtrunA17_Chr1g0146501;KRH64311;Glyma.04G229200;LotjaGi5g1v0305300;Vfaba.Hedin2.R2.2g014177;AT3G03810.1;Zm00001eb259310_P004
MtrunA17_Chr1g0146531;KRH04850;Glyma.17G191900;LotjaGi1g1v0411900_LC;Vfaba.Hedin2.R2.3g021771;AT1G58350.1;NA
MtrunA17_Chr1g0146531;KRH04851;Glyma.17G191900;LotjaGi1g1v0411900_LC;Vfaba.Hedin2.R2.3g021771;AT1G58350.1;NA
MtrunA17_Chr1g0146531;KRH04855;Glyma.17G191900;LotjaGi1g1v0411900_LC;Vfaba.Hedin2.R2.3g021771;AT1G58350.1;NA
MtrunA17_Chr1g0146531;KRH04856;Glyma.17G191900;LotjaGi1g1v0411900_LC;Vfaba.Hedin2.R2.3g021771;AT1G58350.1;NA
MtrunA17_Chr1g0146531;KRH04857;Glyma.17G191900;LotjaGi1g1v0411900_LC;Vfaba.Hedin2.R2.3g021771;AT1G58350.1;NA
MtrunA17_Chr1g0146551;KRH15893;Glyma.14G117500;LotjaGi1g1v0176100;NA;NA;NA
MtrunA17_Chr1g0146561;KRH24925;Glyma.12G071700;LotjaGi2g1v0363300;Vfaba.Hedin2.R2.3g021774;AT4G31460.1;Zm00001eb323470_P001
MtrunA17_Chr1g0146561;KRH24926;Glyma.12G071700;LotjaGi2g1v0363300;Vfaba.Hedin2.R2.3g021774;AT4G31460.1;Zm00001eb323470_P001
MtrunA17_Chr1g0146581;KRH07361;Glyma.16G083300;LotjaGi1g1v0176000;Vfaba.Hedin2.R2.3g021775;AT5G48470.1;Zm00001eb169280_P001
MtrunA17_Chr1g0146671;KRH17230;Glyma.14G207100;LotjaGi1g1v0081600;Vfaba.Hedin2.R2.3g021782;NA;NA
MtrunA17_Chr1g0146681;KRH56408;Glyma.06G322500;LotjaGi3g1v0066700;Vfaba.Hedin2.R2.3g021783;AT3G24000.1;Zm00001eb316210_P001
MtrunA17_Chr1g0146691;KRG94196;Glyma.19G067100;LotjaGi5g1v0023600;Vfaba.Hedin2.R2.3g021789;AT5G05310.2;Zm00001eb406320_P001
MtrunA17_Chr1g0146701;KRH16274;Glyma.14G145000;LotjaGi1g1v0308900;Vfaba.Hedin2.R2.3g021790;AT2G40600.1;Zm00001eb016110_P003
MtrunA17_Chr1g0146721;KRH16347;Glyma.14G150400;LotjaGi5g1v0023500;Vfaba.Hedin2.R2.3g021791;AT5G24340.1;Zm00001eb096690_P004
MtrunA17_Chr1g0146721;KRH16348;Glyma.14G150400;LotjaGi5g1v0023500;Vfaba.Hedin2.R2.3g021791;AT5G24340.1;Zm00001eb096690_P004
MtrunA17_Chr1g0146731;KRH01579;Glyma.18G285900;LotjaGi1g1v0165100;Vfaba.Hedin2.R2.3g021792;AT5G24330.1;Zm00001eb230520_P001
MtrunA17_Chr1g0146811;KRH03600;Glyma.17G107900;LotjaGi1g1v0155800;Vfaba.Hedin2.R2.3g021794;AT3G01980.1;Zm00001eb210770_P001
MtrunA17_Chr1g0146831;KRH52523;Glyma.06G072800;NA;Vfaba.Hedin2.R2.3g021795;AT5G24318.1;NA
MtrunA17_Chr1g0146851;KRG94198;Glyma.19G067200;LotjaGi1g1v0174600;NA;NA;NA
MtrunA17_Chr1g0146881;KRG94157;Glyma.19G065800;LotjaGi1g1v0175000;Vfaba.Hedin2.R2.3g021800;AT5G53050.2;Zm00001eb342430_P004
MtrunA17_Chr1g0146911;KRH65848;Glyma.03G066300;NA;Vfaba.Hedin2.R2.3g021801;NA;NA
MtrunA17_Chr1g0146911;KRH65849;Glyma.03G066300;NA;Vfaba.Hedin2.R2.3g021801;NA;NA
MtrunA17_Chr1g0146911;KRH65850;Glyma.03G066300;NA;Vfaba.Hedin2.R2.3g021801;NA;NA
MtrunA17_Chr1g0146931;KRH16503;Glyma.14G159300;LotjaGi1g1v0196100;NA;NA;NA
MtrunA17_Chr1g0147011;KRH03942;Glyma.17G128700;LotjaGi4g1v0216300;Vfaba.Hedin2.R2.3g021805;AT5G24280.1;NA
MtrunA17_Chr1g0147021;KRH16504;Glyma.14G159400;LotjaGi1g1v0224300;Vfaba.Hedin2.R2.3g021807;NA;NA
MtrunA17_Chr1g0147051;KRH16506;Glyma.14G159600;LotjaGi2g1v0371200;Vfaba.Hedin2.R2.3g021811;NA;NA
MtrunA17_Chr1g0147071;KRH39400;Glyma.09G196400;LotjaGi3g1v0357700;Vfaba.Hedin2.R2.3g021814;AT5G53390.1;Zm00001eb295350_P001
MtrunA17_Chr1g0147101;KRH53488;Glyma.06G128000;LotjaGi1g1v0284600;Vfaba.Hedin2.R2.3g021816;AT5G53400.1;Zm00001eb372220_P004
MtrunA17_Chr1g0147101;KRH64458;Glyma.04G236300;LotjaGi1g1v0284600;Vfaba.Hedin2.R2.3g021816;AT5G53400.1;Zm00001eb372220_P004
MtrunA17_Chr1g0147111;KRH64460;Glyma.04G236400;LotjaGi1g1v0284300;Vfaba.Hedin2.R2.3g021818;AT5G53420.1;Zm00001eb345540_P001
MtrunA17_Chr1g0147121;KRG94169;Glyma.19G066800;LotjaGi1g1v0226000_LC;NA;NA;NA
MtrunA17_Chr1g0147161;KRH04831;Glyma.17G190400;LotjaGi1g1v0223800;Vfaba.Hedin2.R2.3g021822;AT5G25752.1;Zm00001eb350490_P001
MtrunA17_Chr1g0147171;KRH16227;Glyma.14G141800;NA;NA;NA;NA
MtrunA17_Chr1g0147171;KRH16228;Glyma.14G141800;NA;NA;NA;NA
MtrunA17_Chr1g0147171;KRH16229;Glyma.14G141800;NA;NA;NA;NA
MtrunA17_Chr1g0147191;KRH16224;Glyma.14G141500;LotjaGi1g1v0226100;Vfaba.Hedin2.R2.3g021823;AT3G24570.1;Zm00001eb339190_P001
MtrunA17_Chr1g0147201;KRH16223;Glyma.14G141400;LotjaGi1g1v0197600;NA;NA;NA
MtrunA17_Chr1g0147211;KRH09733;Glyma.15G008200;LotjaGi1g1v0575100;Vfaba.Hedin2.R2.3g021824;AT3G59630.1;Zm00001eb064030_P002
MtrunA17_Chr1g0147221;KRH16221;Glyma.14G141200;NA;Vfaba.Hedin2.R2.3g021825;NA;Zm00001eb362000_P001
MtrunA17_Chr1g0147271;KRH16219;Glyma.14G141000;LotjaGi1g1v0399100;Vfaba.Hedin2.R2.3g021826;AT5G25610.1;NA
MtrunA17_Chr1g0147341;KRH16213;Glyma.14G140800;LotjaGi1g1v0198600;Vfaba.Hedin2.R2.3g021831;AT4G32700.2;Zm00001eb409880_P002
MtrunA17_Chr1g0147391;KRH16207;Glyma.14G140500;NA;NA;NA;NA
MtrunA17_Chr1g0147401;KRH16206;Glyma.14G140400;LotjaGi1g1v0172000;Vfaba.Hedin2.R2.3g021844;AT4G32690.1;Zm00001eb386050_P003
MtrunA17_Chr1g0147421;KRH16200;Glyma.14G140100;LotjaGi1g1v0398100;Vfaba.Hedin2.R2.3g021845;AT2G24430.1;Zm00001eb102160_P001
MtrunA17_Chr1g0147481;KRH16197;Glyma.14G139800;LotjaGi1g1v0198800;Vfaba.Hedin2.R2.3g021848;AT5G24810.1;Zm00001eb272880_P001
MtrunA17_Chr1g0147491;KRH04810;Glyma.17G188500;NA;Vfaba.Hedin2.R2.3g021849;AT5G24800.1;NA
MtrunA17_Chr1g0147511;KRH04814;Glyma.17G188800;LotjaGi5g1v0047400;Vfaba.Hedin2.R2.3g021853;AT4G31330.1;Zm00001eb317130_P001
MtrunA17_Chr1g0147571;KRH16185;Glyma.14G138700;NA;Vfaba.Hedin2.R2.3g021857;NA;Zm00001eb071310_P001
MtrunA17_Chr1g0147601;KRH10060;Glyma.15G027100;NA;Vfaba.Hedin2.R2.3g021858;AT1G80290.1;Zm00001eb174600_P001
MtrunA17_Chr1g0147611;KRH04897;Glyma.17G194400;LotjaGi5g1v0126900;Vfaba.Hedin2.R2.3g021861;AT4G16130.1;Zm00001eb208110_P002
MtrunA17_Chr1g0147611;KRH16180;Glyma.14G138300;LotjaGi5g1v0126900;NA;NA;NA
MtrunA17_Chr1g0147611;KRH16181;Glyma.14G138300;LotjaGi5g1v0126900;NA;NA;NA
MtrunA17_Chr1g0147631;KRH04819;Glyma.17G189300;LotjaGi5g1v0134000;Vfaba.Hedin2.R2.3g021864;NA;NA
MtrunA17_Chr1g0147651;KRH04903;Glyma.17G194700;LotjaGi5g1v0133900;Vfaba.Hedin2.R2.3g021866;AT4G31270.1;Zm00001eb233350_P001
MtrunA17_Chr1g0147671;KRH16174;Glyma.14G137800;LotjaGi4g1v0149000;Vfaba.Hedin2.R2.3g021867;AT2G21080.1;Zm00001eb174560_P001
MtrunA17_Chr1g0147701;KRH16173;Glyma.14G137700;NA;Vfaba.Hedin2.R2.3g021869;NA;NA
MtrunA17_Chr1g0147731;KRH04920;Glyma.17G196300;LotjaGi5g1v0121700;Vfaba.Hedin2.R2.3g021870;AT2G24370.1;Zm00001eb374240_P002
MtrunA17_Chr1g0147731;KRH04921;Glyma.17G196300;LotjaGi5g1v0121700;Vfaba.Hedin2.R2.3g021870;AT2G24370.1;Zm00001eb374240_P002
MtrunA17_Chr1g0147751;KRH16167;Glyma.14G137100;LotjaGi5g1v0067100;Vfaba.Hedin2.R2.3g021871;AT4G31210.1;Zm00001eb380580_P003
MtrunA17_Chr1g0147821;KRH04931;Glyma.17G196800;LotjaGi5g1v0067000;Vfaba.Hedin2.R2.3g021874;AT4G31580.1;Zm00001eb257500_P001
MtrunA17_Chr1g0147841;KRH16155;Glyma.14G136400;LotjaGi5g1v0066900;Vfaba.Hedin2.R2.3g021873;NA;NA
MtrunA17_Chr1g0147851;KRH04939;Glyma.17G197200;LotjaGi5g1v0066800;Vfaba.Hedin2.R2.3g021877;AT4G31570.1;Zm00001eb232290_P002
MtrunA17_Chr1g0147881;KRH16144;Glyma.14G135400;LotjaGi1g1v0395200;Vfaba.Hedin2.R2.3g021875;AT2G24570.1;Zm00001eb086280_P002
MtrunA17_Chr1g0147911;KRH04947;Glyma.17G197600;LotjaGi5g1v0066500;Vfaba.Hedin2.R2.3g021882;AT4G31540.1;Zm00001eb208020_P001
MtrunA17_Chr1g0147911;KRH04948;Glyma.17G197600;LotjaGi5g1v0066500;Vfaba.Hedin2.R2.3g021882;AT4G31540.1;Zm00001eb208020_P001
MtrunA17_Chr1g0147921;KRH04949;Glyma.17G197700;NA;NA;NA;NA
MtrunA17_Chr1g0147931;KRH16138;Glyma.14G134800;NA;Vfaba.Hedin2.R2.3g021884;AT5G10690.1;Zm00001eb099850_P004
MtrunA17_Chr1g0147941;KRH16136;Glyma.14G134700;LotjaGi1g1v0394100;Vfaba.Hedin2.R2.3g021885;NA;NA
MtrunA17_Chr1g0147961;KRH16133;Glyma.14G134500;LotjaGi1g1v0393800;NA;NA;NA
MtrunA17_Chr1g0148021;KRH04962;Glyma.17G198700;LotjaGi5g1v0066200;NA;NA;NA
